payer,code,avg_rate,max_rate,min_rate,range_rate,percentile_25,median_rate,percentile_75
UnitedHealthcare,0001A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
UnitedHealthcare,0002A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
UnitedHealthcare,0004A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
UnitedHealthcare,0011A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
UnitedHealthcare,0012A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
UnitedHealthcare,0064A,162.78,162.78,162.78,0.00,162.7800,162.7800,162.7800
UnitedHealthcare,0124A,166.52,166.52,166.52,0.00,166.5200,166.5200,166.5200
Aetna,0241U,142.63,142.63,142.63,0.00,142.6300,142.6300,142.6300
Blue Shield of California,0241U,268.23,473.53,245.42,228.11,245.4200,245.4200,245.4200
Cigna Corporation,0241U,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Kaiser Foundation Health Plan,0241U,249.60,249.60,249.60,0.00,249.6000,249.6000,249.6000
UnitedHealthcare,0241U,661.13,661.23,655.82,5.41,661.2300,661.2300,661.2300
Aetna,10060,217.61,628.12,64.40,563.72,80.3400,95.6000,520.6000
Cigna Corporation,10060,426.85,426.85,426.85,0.00,426.8500,426.8500,426.8500
Kaiser Foundation Health Plan,10060,386.71,504.00,300.00,204.00,300.0000,300.0000,504.0000
UnitedHealthcare,10060,499.52,500.27,457.69,42.58,500.2700,500.2700,500.2700
Aetna,11042,172.50,655.19,40.31,614.88,40.3100,76.4200,311.8100
Cigna Corporation,11042,424.86,424.86,424.86,0.00,424.8600,424.8600,424.8600
Kaiser Foundation Health Plan,11042,354.71,438.00,171.00,267.00,293.7400,438.0000,438.0000
UnitedHealthcare,11042,521.83,521.83,521.83,0.00,521.8300,521.8300,521.8300
Aetna,11043,361.86,1194.99,64.40,1130.59,103.4300,166.0000,785.5600
Cigna Corporation,11043,820.49,820.49,820.49,0.00,820.4900,820.4900,820.4900
Kaiser Foundation Health Plan,11043,410.30,499.68,301.51,198.17,319.0000,427.0950,443.1900
UnitedHealthcare,11043,951.76,951.76,951.76,0.00,951.7600,951.7600,951.7600
Aetna,11055,78.26,330.48,17.45,313.03,17.4500,42.6700,81.4300
Blue Shield of California,11055,105.45,133.33,77.57,55.76,77.5700,105.4500,133.3300
Cigna Corporation,11055,175.91,175.91,175.91,0.00,175.9100,175.9100,175.9100
Kaiser Foundation Health Plan,11055,189.01,205.00,51.00,154.00,185.0000,185.0000,205.0000
UnitedHealthcare,11055,263.21,263.21,263.21,0.00,263.2100,263.2100,263.2100
Aetna,11056,96.34,387.95,24.76,363.19,24.7600,50.9100,118.1500
Cigna Corporation,11056,214.20,214.20,214.20,0.00,214.2000,214.2000,214.2000
Kaiser Foundation Health Plan,11056,198.97,222.00,77.00,145.00,189.0000,189.0000,222.0000
UnitedHealthcare,11056,308.99,308.99,308.99,0.00,308.9900,308.9900,308.9900
Aetna,11102,142.54,523.70,35.00,488.70,35.0000,89.6200,199.1400
Ambetter,11102,140.54,187.39,93.70,93.69,93.7000,140.5450,187.3900
Cigna Corporation,11102,362.50,362.50,362.50,0.00,362.5000,362.5000,362.5000
Kaiser Foundation Health Plan,11102,278.71,353.00,223.00,130.00,223.0000,223.0000,353.0000
UnitedHealthcare,11102,416.90,417.11,405.07,12.04,417.1100,417.1100,417.1100
Aetna,11104,178.72,659.21,43.95,615.26,43.9500,112.7100,249.7800
Ambetter,11104,127.45,231.77,80.84,150.93,83.2600,83.2600,231.7700
Cigna Corporation,11104,455.90,455.90,455.90,0.00,455.9000,455.9000,455.9000
Kaiser Foundation Health Plan,11104,416.28,426.00,409.00,17.00,409.0000,409.0000,426.0000
UnitedHealthcare,11104,524.75,525.03,509.45,15.58,525.0300,525.0300,525.0300
Aetna,11720,48.59,170.33,12.82,157.51,12.8200,26.6700,74.1100
Cigna Corporation,11720,117.63,117.63,117.63,0.00,117.6300,117.6300,117.6300
Kaiser Foundation Health Plan,11720,86.96,130.00,34.00,96.00,58.0000,64.0900,130.0000
UnitedHealthcare,11720,135.66,135.66,135.66,0.00,135.6600,135.6600,135.6600
Aetna,11721,70.87,234.79,21.82,212.97,21.8200,36.2800,127.2600
Cigna Corporation,11721,162.84,162.84,162.84,0.00,162.8400,162.8400,162.8400
Kaiser Foundation Health Plan,11721,109.62,174.00,44.87,129.13,54.0000,85.8200,174.0000
UnitedHealthcare,11721,187.00,187.00,187.00,0.00,187.0000,187.0000,187.0000
Aetna,11900,87.70,285.91,26.95,258.96,26.9500,48.7400,155.6900
Cigna Corporation,11900,202.45,202.45,202.45,0.00,202.4500,202.4500,202.4500
Kaiser Foundation Health Plan,11900,164.70,234.00,69.00,165.00,124.0000,124.0000,234.0000
UnitedHealthcare,11900,227.80,233.34,227.71,5.63,227.7100,227.7100,227.7100
Aetna,12001,140.61,467.10,46.78,420.32,46.7800,83.8300,225.6200
Blue Shield of California,12001,317.49,462.95,226.87,236.08,226.8700,327.5700,406.5500
Cigna Corporation,12001,325.57,325.57,325.57,0.00,325.5700,325.5700,325.5700
Kaiser Foundation Health Plan,12001,334.28,340.00,330.00,10.00,330.0000,330.0000,340.0000
UnitedHealthcare,12001,372.03,372.03,372.03,0.00,372.0300,372.0300,372.0300
Aetna,17000,126.42,339.02,48.35,290.67,48.3500,70.4600,278.6800
Ambetter,17000,117.73,122.26,104.14,18.12,117.7300,122.2600,122.2600
Cigna Corporation,17000,242.46,242.46,242.46,0.00,242.4600,242.4600,242.4600
Kaiser Foundation Health Plan,17000,202.28,240.00,176.00,64.00,176.0000,176.0000,240.0000
UnitedHealthcare,17000,271.18,337.31,270.01,67.30,270.0100,270.0100,270.0100
Aetna,17110,182.10,585.64,60.09,525.55,60.0900,96.8300,347.8900
Ambetter,17110,217.66,220.97,209.94,11.03,212.6975,220.9700,220.9700
Cigna Corporation,17110,407.43,407.43,407.43,0.00,407.4300,407.4300,407.4300
Kaiser Foundation Health Plan,17110,244.57,268.00,227.00,41.00,227.0000,227.0000,268.0000
UnitedHealthcare,17110,466.38,466.43,463.59,2.84,466.4300,466.4300,466.4300
Aetna,20550,96.32,280.62,35.61,245.01,35.6100,49.9400,199.4800
Ambetter,20550,66.70,66.70,66.70,0.00,66.7000,66.7000,66.7000
Cigna Corporation,20550,189.10,189.10,189.10,0.00,189.1000,189.1000,189.1000
Kaiser Foundation Health Plan,20550,166.33,192.00,125.00,67.00,125.0000,192.0000,192.0000
UnitedHealthcare,20550,223.67,233.62,223.50,10.12,223.5000,223.5000,223.5000
Aetna,20552,94.41,286.97,32.10,254.87,32.1000,46.7600,196.3800
Cigna Corporation,20552,200.17,200.17,200.17,0.00,200.1700,200.1700,200.1700
Kaiser Foundation Health Plan,20552,196.80,229.00,177.00,52.00,177.0000,177.0000,229.0000
UnitedHealthcare,20552,228.38,228.56,218.73,9.83,228.5600,228.5600,228.5600
Aetna,20553,107.15,329.66,36.08,293.58,36.0800,52.9700,222.1300
Cigna Corporation,20553,230.88,230.88,230.88,0.00,230.8800,230.8800,230.8800
Kaiser Foundation Health Plan,20553,211.57,221.00,205.00,16.00,205.0000,205.0000,221.0000
UnitedHealthcare,20553,262.29,262.55,247.79,14.76,262.5500,262.5500,262.5500
Aetna,20600,89.74,258.65,34.02,224.63,34.0200,47.4000,183.1800
Cigna Corporation,20600,172.25,172.25,172.25,0.00,172.2500,172.2500,172.2500
Kaiser Foundation Health Plan,20600,184.57,188.00,182.00,6.00,182.0000,182.0000,188.0000
UnitedHealthcare,20600,206.27,221.70,206.00,15.70,206.0000,206.0000,206.0000
Aetna,20605,94.08,267.96,35.73,232.23,35.7300,51.6700,190.6100
Ambetter,20605,63.24,63.24,63.24,0.00,63.2400,63.2400,63.2400
Cigna Corporation,20605,180.85,180.85,180.85,0.00,180.8500,180.8500,180.8500
Kaiser Foundation Health Plan,20605,202.80,264.00,159.00,105.00,159.0000,159.0000,264.0000
UnitedHealthcare,20605,213.91,241.68,213.42,28.26,213.4200,213.4200,213.4200
Aetna,20610,114.86,317.29,43.19,274.10,43.1900,68.6800,232.3600
Ambetter,20610,100.48,180.67,38.63,142.04,77.2600,114.5300,114.5300
